FeatureCode,DateCode,Measurement,Units,Value,Waste Management,Waste Category
S12000041,2011,Count,Tonnes,250,Waste Generated,Textile wastes
S12000011,2011,Count,Tonnes,0,Other Diversion,Plastic wastes
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Combustion wastes
S12000005,2011,Ratio,Percentage,52,Recycled (pre 2014 method),Total Waste
S12000011,2011,Count,Tonnes,0,Waste Generated,Combustion wastes
S12000041,2011,Count,Tonnes,6,Recycled,Chemical wastes
S12000035,2011,Count,Tonnes,1009,Waste Generated,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000011,2011,Count,Tonnes,1196,Waste Generated,Wood wastes
S12000011,2011,Count,Tonnes,7599,Waste Generated,Animal and mixed food waste
S12000049,2011,Ratio,Percentage,27,Recycled,Total Waste
S12000028,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, non-ferrous"
S12000049,2011,Count,Tonnes,0,Landfilled,Paper and cardboard wastes
S12000005,2011,Count,Tonnes,0,Landfilled,Vegetal wastes
S12000011,2011,Count,Tonnes,0,Other Diversion,Mixed and undifferentiated materials
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Wood wastes
S12000005,2011,Count,Tonnes,1024,Recycled (pre 2014 method),Soils
S12000047,2011,Count,Tonnes,0,Landfilled,Glass wastes
S12000047,2011,Count,Tonnes,61,Recycled (pre 2014 method),Used oils
S12000020,2011,Count,Tonnes,1031,Waste Generated,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000047,2011,Count,Tonnes,85,Recycled (pre 2014 method),"Metallic wastes, non-ferrous"
S12000020,2011,Count,Tonnes,924,Recycled (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000028,2011,Count,Tonnes,0,Landfilled,Combustion wastes
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Discarded vehicles
S12000041,2011,Count,Tonnes,0,Other Diversion,Health care and biological wastes
S12000011,2011,Count,Tonnes,20,Waste Generated,Mixed and undifferentiated materials
S12000005,2011,Count,Tonnes,1024,Recycled,Soils
S12000020,2011,Count,Tonnes,0,Recycled (pre 2014 method),Rubber wastes
S12000005,2011,Ratio,Percentage,52,Recycled,Total Waste
S12000036,2011,Count,Tonnes,4,Recycled,Used oils
S12000005,2011,Count,Tonnes,0,Other Diversion,Textile wastes
S12000005,2011,Count,Tonnes,4339,Waste Generated,Vegetal wastes
S12000011,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, non-ferrous"
S12000005,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Vegetal wastes
S12000020,2011,Count,Tonnes,0,Waste Generated,Combustion wastes
S12000049,2011,Count,Tonnes,468,Recycled,"Metallic wastes, ferrous"
S12000028,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Paper and cardboard wastes
S12000035,2011,Count,Tonnes,0,Landfilled,Soils
S12000028,2011,Count,Tonnes,0,Other Diversion,"Metallic wastes, ferrous"
S12000047,2011,Count,Tonnes,80,Waste Generated,"Metallic wastes, non-ferrous"
S12000028,2011,Count,Tonnes,0,Waste Generated,Batteries and accumulators wastes
S12000041,2011,Count,Tonnes,1936,Waste Generated,Mineral waste from construction and demolition
S12000041,2011,Count,Tonnes,0,Other Diversion,Household and similar wastes
S12000028,2011,Count,Tonnes,373,Recycled,"Metallic wastes, ferrous"
S12000035,2011,Count,Tonnes,0,Other Diversion,Discarded vehicles
S12000028,2011,Count,Tonnes,0,Waste Generated,"Metallic wastes, non-ferrous"
S12000005,2011,Count,Tonnes,1001,Waste Generated,Soils
S12000035,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,158,Recycled (pre 2014 method),Household and similar wastes
S12000041,2011,Count,Tonnes,122,Other Diversion (pre 2014 method),Combustion wastes
S12000028,2011,Count,Tonnes,30279,Landfilled,Total Waste
S12000005,2011,Count,Tonnes,4320,Recycled (pre 2014 method),Vegetal wastes
S12000011,2011,Count,Tonnes,20,Recycled (pre 2014 method),Mixed and undifferentiated materials
S12000020,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Soils
S12000049,2011,Count,Tonnes,0,Landfilled,"Metallic wastes, ferrous"
S12000020,2011,Count,Tonnes,0,Landfilled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
S12000035,2011,Count,Tonnes,0,Landfilled,Used oils
S12000041,2011,Count,Tonnes,0,Other Diversion,Mixed and undifferentiated materials
S12000005,2011,Count,Tonnes,0,Other Diversion,Soils
S12000028,2011,Count,Tonnes,6333,Recycled,Paper and cardboard wastes
S12000020,2011,Count,Tonnes,924,Waste Generated,"Metallic wastes, mixed ferrous and non-ferrous"
S12000020,2011,Count,Tonnes,0,Other Diversion (pre 2014 method),Animal and mixed food waste
S12000020,2011,Count,Tonnes,1031,Recycled,"Discarded equipment (excluding discarded vehicles, batteries and accumulators wastes)"
